10th_percentage,12th_percentage,college_percentage,english_1,english_2,english_3,english_4,quantitative_ability_1,quantitative_ability_2,quantitative_ability_3,quantitative_ability_4,domain_skills_2,domain_test_3,domain_test_4,analytical_skills_1,analytical_skills_2,analytical_skills_3,specialization_in_study_C,specialization_in_study_D,specialization_in_study_E,specialization_in_study_G,specialization_in_study_I,specialization_in_study_J,specialization_in_study_L,performance,cluster_kmeans,cluster_agglomerative,cluster_dbscan
4.440295542797857,4.442651256490317,4.146304301152812,3.9858344376613783,4.179469872959103,4.223510378965765,4.253129535308247,3.8824084639282805,4.19372917384803,4.195141608448784,4.158973397200329,4.239098714653276,4.23809653482846,4.096410553113124,4.520799946222101,4.406873603982936,4.568530048329827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.447346100794524,4.356708826689592,4.31748811353631,3.554269312733238,4.179469872959103,4.130549855552453,4.040033048447265,3.775583406804377,4.078957322440411,4.050472452172167,4.194460133301364,4.218131388194253,4.23809653482846,4.120401148337502,4.223510378965765,4.495440081307168,4.048681686891539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,1,0
4.406719247264253,4.290459441148391,4.385520523928138,4.147318832914106,4.494629965983458,4.340652088535196,4.217611285228148,3.6126886081046585,4.016221169169937,4.030823524514123,4.044267443113671,4.006548050410668,4.277144931570092,3.9389562961384232,3.876866748443569,4.309694105935234,3.6009271957627536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,0,0
4.412192049005608,4.491441420659749,4.375757021660286,3.913154440585618,4.307416331571524,4.090802944556136,4.217611285228148,3.737279222026215,4.137988917438128,4.088648669330791,3.9146784361866764,4.259635425735073,3.8833396819122057,4.424628066953091,4.140244550969299,3.9441592868505375,4.231437612270768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,0,0
4.504244267398131,4.463606621666305,4.339510497570803,4.205255682468906,4.465761684330117,4.356320250815264,4.082309237192547,4.0384389794620335,4.344427360768235,4.2444167046671,4.122180872416186,4.318830138277606,4.402927374172312,4.459004572125769,4.049410589742843,4.143536494175161,3.9430314873214005,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,1,1,0
4.478018400327608,4.365261888341151,4.16883341421284,3.913154440585618,4.2545731851940936,4.187356418789951,4.161850302574286,3.848052628876799,4.19372917384803,4.306553313149572,3.9597666546718497,4.318830138277606,3.854539995301974,4.313782961091646,3.876866748443569,4.275082587410411,3.6617917341631876,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,0,0,0
4.447346100794524,4.384523514872469,4.369827527216884,4.117041012921229,4.341154877769002,4.340652088535196,4.122870409126571,3.304301245439983,4.2465258104071015,3.834091661298051,3.9374766423375593,4.392671218387576,4.314725680840401,4.143829653452161,3.913839536354544,4.343147635281701,3.6617917341631876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MP,0,0,0
4.523960130562548,4.505349850705881,4.30406509320417,4.233012113243161,4.3897198954441405,4.25840271055495,4.413950260172473,4.378125592872144,4.47536153883,4.143312062799161,4.45401117309482,4.427642873811284,4.529628826282391,4.47575959255161,4.223510378965765,4.220809909806221,4.371482736890115,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,BP,1,1,0
4.464988155388229,4.4942386252808095,4.182050142641207,4.233012113243161,4.198781084250281,4.38693879267126,4.270426515884288,3.6126886081046585,4.078957322440411,3.990328063308333,4.194460133301364,4.427642873811284,4.402927374172312,4.16672180568988,4.223510378965765,4.437275702258614,4.088002655696816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MP,1,1,0
4.465908118654584,4.193435464866331,4.274998061915358,4.085817745992938,4.341154877769002,4.401903531345119,4.253129535308247,4.0384389794620335,4.11869633488221,4.321502391897514,4.39872175249879,4.259635425735073,4.332999373433644,4.253384210023163,4.249793100764959,4.102538746111137,4.342012503399395,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,1,1,0
4.3694478524670215,4.3489867805956814,4.517431271680085,4.020284968191802,4.0550474130266405,3.9611017282491257,4.398983281687591,4.418445507040767,4.419273383337109,4.446848809711959,4.480550248072667,3.804101258980094,4.088002655696816,3.9389562961384232,4.371746704054132,4.523300916651237,4.264297476876404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MP,1,1,0
4.37449836825309,4.4046439245392905,4.155753190350744,3.913154440585618,4.0550474130266405,4.324734522057079,4.253129535308247,4.198310663512987,4.404745634548045,4.069742727634187,4.2287305991680135,4.337807840385674,4.23809653482846,4.424628066953091,4.4804311954929545,4.220809909806221,4.311647334558471,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,1,1,0
4.446526092548494,4.3651347670036635,4.456670177669648,3.7931544751752395,4.307416331571524,4.187356418789951,4.161850302574286,3.844551224739361,4.229234811621549,4.050472452172167,4.245435238834609,4.337807840385674,4.155104401400651,4.424628066953091,4.324734522057079,4.375518158647089,4.2961118349070055,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,BP,1,1,0
4.51085950651685,4.490881039585964,4.302712827954156,3.913154440585618,4.436035188450542,4.090802944556136,4.235528095240935,3.812474347756843,4.137988917438128,4.030823524514123,4.211742167154885,4.356432086685059,4.133233655408821,4.096410553113124,4.223510378965765,4.343147635281701,4.162289630804565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.259859000699674,4.198704577546343,4.260000233663683,3.8747325036893616,4.159778383096172,4.090802944556136,4.287429390854341,4.094617748946925,4.280235920656845,4.228259959319758,4.340195581128424,4.0323926210580305,4.2961118349070055,4.294052617985675,4.196518186951408,4.037707233740279,4.231437612270768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.447346100794524,4.426880490307507,4.120661870539474,4.085817745992938,4.272499631006497,4.20559677858457,4.336769333019615,3.9123508205433595,4.229234811621549,4.195141608448784,4.1768741705467525,4.218131388194253,3.7628026801391043,4.313782961091646,4.324734522057079,3.992026763949795,4.519662380262805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LP,1,1,0
4.335066045810379,4.26507138131118,4.207673247529104,3.3110937500181596,4.324427884109763,3.983920744607727,4.061394535701471,3.567452492333575,4.156916330208728,4.125420897679919,4.2287305991680135,3.7378408951528455,3.9650733759425885,3.966981109038003,4.049410589742842,4.406873603982936,3.9204927825116296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,0,0
4.420886705880596,4.343805421853684,4.388257184424518,3.8747325036893616,4.1396913363171315,4.00623064928837,4.336769333019615,4.009119963551794,4.312846619928219,4.069742727634187,4.064322261444903,4.259635425735073,4.110873864173311,4.313782961091646,4.16877715700487,4.292538083850756,4.280331169728478,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,1,1,0
4.454347296253507,4.398514952178684,4.4355674016019115,3.163004041343948,3.9129143278275125,4.00623064928837,4.061394535701471,3.9123508205433595,4.229234811621549,4.143312062799161,4.083982778718484,4.337807840385674,4.01607231700591,4.096410553113124,4.275402694969284,4.123247707348816,4.385898439897867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,0,0,0
4.40562108352751,4.475403127929026,4.327966357823938,4.020284968191802,4.159778383096172,3.889343516658729,4.368360051271954,3.4703359620230363,3.852438261912487,3.990328063308333,4.023802183684769,4.259635425735073,3.6257192929464854,3.994241894875175,3.983920744607727,4.309694105935234,3.8248862287267724,0.0,0.0,0.0,0.0,0.0,0.6934,0.0,MP,0,0,0
4.4520190064939165,4.379523504455763,4.282896668766692,3.8747325036893616,4.2545731851940936,3.983920744607727,4.253129535308247,4.121566294297025,4.2116395657474115,4.321502391897514,4.194460133301364,3.9800177770606497,4.01607231700591,4.16672180568988,4.394449154672439,4.309694105935234,4.41412099881386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,0,0
4.319752215189378,4.32280727501391,4.371218435957278,4.17670678383787,4.1396913363171315,4.308559482792009,4.3837888846798005,4.173377933448606,4.296674196615998,4.069742727634187,4.384408189582946,4.477908920251647,4.040628492573124,4.2324124861932075,4.348516855775004,4.466780719058993,4.2961118349070055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BP,1,1,0
4.411585436915426,4.364371699435161,4.259859000699674,3.950154591590486,4.236319506883544,4.324734522057079,4.199367597626988,3.8824084639282805,4.229234811621549,4.088648669330791,4.122180872416186,4.427642873811284,4.23809653482846,4.096410553113124,4.110873864173311,4.326560756413883,3.8496583649096943,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,BP,1,1,0
